Date : 2022-06-03 20:53:00
Directory : h:\Masters\Masters
Total : 223 files,  36472 codes, 444 comments, 639 blanks, all 37555 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |        118 |     32,639 |          0 |          0 |     32,639 |
| Python   |         27 |      1,907 |        437 |        560 |      2,904 |
| YAML     |         72 |      1,546 |          0 |         72 |      1,618 |
| XML      |          5 |        333 |          0 |          0 |        333 |
| Ini      |          1 |         47 |          7 |          7 |         61 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        223 |     36,472 |        444 |        639 |     37,555 |
| .idea                                                                                                                                     |          5 |        333 |          0 |          0 |        333 |
| .idea\inspectionProfiles                                                                                                                  |          1 |          6 |          0 |          0 |          6 |
| airsim_gym                                                                                                                                |          3 |        325 |         46 |         83 |        454 |
| deep_rl                                                                                                                                   |         95 |     16,727 |        143 |        174 |     17,044 |
| deep_rl\a2c                                                                                                                               |          2 |         32 |          2 |         12 |         46 |
| deep_rl\ddqn                                                                                                                              |          3 |        301 |         74 |         69 |        444 |
| deep_rl\ppo                                                                                                                               |          2 |         33 |          2 |         14 |         49 |
| deep_rl\results                                                                                                                           |         86 |     16,215 |          0 |         32 |     16,247 |
| deep_rl\results\agent-model-structure-study                                                                                               |         14 |        149 |          0 |          6 |        155 |
| deep_rl\results\agent-model-structure-study\ddqn                                                                                          |         14 |        149 |          0 |          6 |        155 |
| deep_rl\results\agent-model-structure-study\ddqn\CustomCNN                                                                                |          6 |         47 |          0 |          2 |         49 |
| deep_rl\results\agent-model-structure-study\ddqn\NatureCNN5                                                                               |          4 |         51 |          0 |          2 |         53 |
| deep_rl\results\agent-model-structure-study\ddqn\NvidiaCNN2                                                                               |          4 |         51 |          0 |          2 |         53 |
| deep_rl\results\multiple-spawn-location-study                                                                                             |         12 |         92 |          0 |          4 |         96 |
| deep_rl\results\multiple-spawn-location-study\ddqn                                                                                        |          6 |         46 |          0 |          2 |         48 |
| deep_rl\results\multiple-spawn-location-study\ddqn2                                                                                       |          6 |         46 |          0 |          2 |         48 |
| deep_rl\results\reward-function-ablation-study                                                                                            |         36 |        275 |          0 |         12 |        287 |
| deep_rl\results\reward-function-ablation-study\ddqn                                                                                       |          6 |         45 |          0 |          2 |         47 |
| deep_rl\results\reward-function-ablation-study\ddqn2                                                                                      |          6 |         46 |          0 |          2 |         48 |
| deep_rl\results\reward-function-ablation-study\ddqn3                                                                                      |          6 |         46 |          0 |          2 |         48 |
| deep_rl\results\reward-function-ablation-study\ddqn4                                                                                      |          6 |         46 |          0 |          2 |         48 |
| deep_rl\results\reward-function-ablation-study\ddqn5                                                                                      |          6 |         46 |          0 |          2 |         48 |
| deep_rl\results\reward-function-ablation-study\ddqn6                                                                                      |          6 |         46 |          0 |          2 |         48 |
| deep_rl\results\state-of-the-art-study                                                                                                    |         24 |     15,699 |          0 |         10 |     15,709 |
| deep_rl\results\state-of-the-art-study\a2c                                                                                                |          8 |        101 |          0 |          4 |        105 |
| deep_rl\results\state-of-the-art-study\a2c\continuous                                                                                     |          4 |         51 |          0 |          2 |         53 |
| deep_rl\results\state-of-the-art-study\a2c\continuous\NatureCNN6                                                                          |          4 |         51 |          0 |          2 |         53 |
| deep_rl\results\state-of-the-art-study\a2c\discrete                                                                                       |          4 |         50 |          0 |          2 |         52 |
| deep_rl\results\state-of-the-art-study\ddqn                                                                                               |          6 |     15,495 |          0 |          2 |     15,497 |
| deep_rl\results\state-of-the-art-study\ppo                                                                                                |         10 |        103 |          0 |          4 |        107 |
| deep_rl\results\state-of-the-art-study\ppo\continuous                                                                                     |          6 |         53 |          0 |          2 |         55 |
| deep_rl\results\state-of-the-art-study\ppo\continuous\NatureCNN3                                                                          |          6 |         53 |          0 |          2 |         55 |
| deep_rl\results\state-of-the-art-study\ppo\discrete                                                                                       |          4 |         50 |          0 |          2 |         52 |
| deep_sl                                                                                                                                   |        111 |     18,617 |        171 |        253 |     19,041 |
| deep_sl\results                                                                                                                           |        104 |     17,970 |          0 |         40 |     18,010 |
| deep_sl\results\augmentation_ablation_study                                                                                               |         56 |        554 |          0 |         26 |        580 |
| deep_sl\results\augmentation_ablation_study\continuous                                                                                    |         18 |        264 |          0 |         12 |        276 |
| deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN                                                                          |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN2                                                                         |          3 |         44 |          0 |          2 |         46 |
| deep_sl\results\augmentation_ablation_study\continuous\NvidiaCNN3                                                                         |          3 |         44 |          0 |          2 |         46 |
